"Intel Core i7 8700"
"Memória RAM SK Hynix 16GB (4x4GB) DDR3 - Mac Pro (Late 2013)","15.89","","6.94826484617507 km","Misericórdia","10 de junho de 2025","https://www.olx.pt//d/anuncio/memria-ram-sk-hynix-16gb-4x4gb-ddr3-mac-pro-late-2013-IDIzNMm.html"
"Memórias DDR4 16GB","16.0","","85.83374825440713 km","Alcanena E Vila Moreira","21 de junho de 2025","https://www.olx.pt//d/anuncio/memrias-ddr4-16gb-IDIHPQW.html"
"Memoria RAM DDR3 16GB","17.0","","5.904964051369909 km","Odivelas","28 de junho de 2025","https://www.olx.pt//d/anuncio/memoria-ram-ddr3-16gb-IDIQW59.html"
"Memoria RAM DDR4 8GB","19.0","","17.60578085117511 km","Santo António da Charneca","12 de junho de 2025","https://www.olx.pt//d/anuncio/memoria-ram-ddr4-8gb-IDIq8iZ.html"
"Memórias Ram ddr4 G.Skill Aegis 16GB (2x8) 3200MHz - CL16 Com garantia","20.0","","1.9820544758207936 km","Parque das Nações","10 de junho de 2025","https://www.olx.pt//d/anuncio/memrias-ram-ddr4-g-skill-aegis-16gb-2x8-3200mhz-cl16-com-garantia-IDIRF2J.html"
"Memória Ram AEGIS 2 x 8Gb DDR4","20.0","","26.179258988602513 km","Mafra","16 de junho de 2025","https://www.olx.pt//d/anuncio/memria-ram-aegis-2-x-8gb-ddr4-IDIPYeC.html"
"16gb (2x8) RAM SO-DIMM DDR4 3200MHZ","20.0","","7.471238628641473 km","Benfica","26 de junho de 2025","https://www.olx.pt//d/anuncio/16gb-2x8-ram-so-dimm-ddr4-3200mhz-IDIUHNz.html"


"NVIDIA GeForce GTX 1650 4GB"
"Placa Gráfica GeForce GTX 1050 Ti Windforce OC 4G","55.0","Negociável","18.856189819994615 km","Charneca De Caparica E Sobreda","06 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-geforce-gtx-1050-ti-windforce-oc-4g-IDIJROn.html"
"Placa gráfica GTX 1050ti 4gb GDDR5 Gaming","55.0","","30.086468512334093 km","Cascais E Estoril","27 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-gtx-1050ti-4gb-gddr5-gaming-IDIUMga.html"
"Placa Gráfica GTX 1050 Ti 4GB – Perfeita para jogos","60.0","Negociável","30.086468512334093 km","Cascais E Estoril","06 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-gtx-1050-ti-4gb-perfeita-para-jogos-IDIRis4.html"
"MSI Nvidia Gtx 1630 4Gb","60.0","Negociável","12.161702388671246 km","Vialonga","21 de junho de 2025","https://www.olx.pt//d/anuncio/msi-nvidia-gtx-1630-4gb-IDINYpb.html"
"Placa gráfica GTX 1650 COMPACT 4GB","70.0","","30.086468512334093 km","Cascais E Estoril","27 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-gtx-1650-compact-4gb-IDIQR6V.html"
"Vendo placa grafica GTX1650 super 4g","75.0","Negociável","33.39920852667537 km","Setúbal (São Julião, Nossa Senhora Da Anunciada E Santa Maria Da Graça)","10 de junho de 2025","https://www.olx.pt//d/anuncio/vendo-placa-grafica-gtx1650-super-4g-IDIzOlW.html?reason=extended_search_extended_semantic"
"Nvidia 1650super","80.0","","66.69071347696224 km","Santa Maria, São Pedro E Sobral Da Lagoa","27 de junho de 2025","https://www.olx.pt//d/anuncio/nvidia-1650super-IDIJczq.html?reason=extended_search_extended_semantic"
"Zotac Nvidia GTX 1650 SUPER","85.0","","16.520683629916117 km","Alverca Do Ribatejo E Sobralinho","21 de junho de 2025","https://www.olx.pt//d/anuncio/zotac-nvidia-gtx-1650-super-IDIPe1H.html"
"GTX 1650 4GB - GDDR5","90.0","","19.280221044282204 km","Algueirão-Mem Martins","28 de junho de 2025","https://www.olx.pt//d/anuncio/gtx-1650-4gb-gddr5-IDIrF1M.html"
"Placa gráfica gtx 1650 4gb","100.0","Negociável","16.54137740347367 km","Cacém E São Marcos","12 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-gtx-1650-4gb-IDHPDHW.html"
"Placa gráfica ASUS TUF Gaming GeForce® GTX 1650 OC Edition","100.0","","16.785828151049678 km","Moita","30 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-asus-tuf-gaming-geforce-gtx-1650-oc-edition-IDIUZ0W.html"
"Gráfica MSI GeForce GTX 1650 SUPER AERO ITX OC 4GB","100.0","Negociável","23.469403395672256 km","Quinta do Conde","23 de junho de 2025","https://www.olx.pt//d/anuncio/grfica-msi-geforce-gtx-1650-super-aero-itx-oc-4gb-IDItwHU.html"
"Vendo ASUS NVIDIA GTX 1650 Super TUF Gaming como nova","100.0","","57.87115995581196 km","Vale de Santarém","15 de junho de 2025","https://www.olx.pt//d/anuncio/vendo-asus-nvidia-gtx-1650-super-tuf-gaming-como-nova-IDHEF9P.html"
"Placa Gráfica Asus GTX1650 Tuf Gaming 4GB GDDR6","110.0","Negociável","12.180875661912703 km","Barreiro E Lavradio","28 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-asus-gtx1650-tuf-gaming-4gb-gddr6-IDIJf1v.html"
"Placa Gráfica Nvidia GeForce GTX 1650 Super Turing 4 GB RAM","115.0","Negociável","0.0 km","Olivais","30 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-nvidia-geforce-gtx-1650-super-turing-4-gb-ram-IDIT5Ey.html"


"SSD 180GB"
"Memória Samsung SSD M.2 - 120GB","10.0","","9.300602428671933 km","Águas Livres","05 de junho de 2025","https://www.olx.pt//d/anuncio/memria-samsung-ssd-m-2-120gb-IDIP9OG.html"
