"rtx 3060"
"Gigabyte Aorus GeForce RTX 3060 Elite 12GB GDDR6","200.0","Negociável","4.520598082917221 km","Avenidas Novas","Para o topo a 29 de junho de 2025","https://www.olx.pt//d/anuncio/gigabyte-aorus-geforce-rtx-3060-elite-12gb-gddr6-IDIUwJl.html"
"PROMOÇÃO - Zotac Gaming Geforce Rtx 3060 Twin Edge 12GB 192Bit GDDR6","200.0","","8.237396163588778 km","Loures","03 de junho de 2025","https://www.olx.pt//d/anuncio/promoo-zotac-gaming-geforce-rtx-3060-twin-edge-12gb-192bit-gddr6-IDIudUF.html"
"PROMOÇÃO - MSI Rtx 3060 Ventus 2 X 12G OC","200.0","","8.237396163588778 km","Loures","03 de junho de 2025","https://www.olx.pt//d/anuncio/promoo-msi-rtx-3060-ventus-2-x-12g-oc-IDIudTM.html"
"Placa Gráfica GeForce RTX 3060 GDDR6 12GB - EXCELENTE ESTADO","220.0","Negociável","6.4245054037731935 km","Santa Maria Maior","Hoje às 12:43","https://www.olx.pt//d/anuncio/placa-grfica-geforce-rtx-3060-gddr6-12gb-excelente-estado-IDIR6ir.html"
"MSI RTX 2080 Gaming X Trio","220.0","Negociável","9.451410814451734 km","Alfragide","04 de junho de 2025","https://www.olx.pt//d/anuncio/msi-rtx-2080-gaming-x-trio-IDIJHA8.html"
"Placa Gragica RTX 3060 TI","250.0","","7.471238628641473 km","Benfica","29 de junho de 2025","https://www.olx.pt//d/anuncio/placa-gragica-rtx-3060-ti-IDIRbIG.html"
"Asus tuf rtx 3060ti","250.0","","5.904964051369909 km","Odivelas","19 de junho de 2025","https://www.olx.pt//d/anuncio/asus-tuf-rtx-3060ti-IDHRLvQ.html"
"RTX 4060 8GB "NOVA"","299.0","","9.300602428671933 km","Águas Livres","09 de junho de 2025","https://www.olx.pt//d/anuncio/rtx-4060-8gb-nova-IDITyys.html"
"Gigabyte Aorus GeForce RTX 3060 Ti Elite LHR - 8GB GDDR6","399.0","","3.02140635390422 km","Alvalade","Para o topo a 28 de junho de 2025","https://www.olx.pt//d/anuncio/gigabyte-aorus-geforce-rtx-3060-ti-elite-lhr-8gb-gddr6-IDGTfTx.html"
"Zotac GeForce RTX 5090 SOLID 32GB DLSS4  + Fatura + Garantia (Selada)","2150.0","","4.520598082917221 km","Avenidas Novas","26 de junho de 2025","https://www.olx.pt//d/anuncio/zotac-geforce-rtx-5090-solid-32gb-dlss4-fatura-garantia-selada-IDIUFoq.html"
"ASUS ROG Astral GeForce RTX 5090 OC + Fatura + Garantia (Selada)","2750.0","","4.520598082917221 km","Avenidas Novas","20 de junho de 2025","https://www.olx.pt//d/anuncio/asus-rog-astral-geforce-rtx-5090-oc-fatura-garantia-selada-IDIOTqn.html"


"rtx 3070"
"Watercooling GPU - Bykski Water Block for Gigabyte RTX 3070","20.0","","3.912890455413891 km","Lumiar","21 de junho de 2025","https://www.olx.pt//d/anuncio/watercooling-gpu-bykski-water-block-for-gigabyte-rtx-3070-IDIFZFf.html"
"Watercooling GPU - Alphacool Eisblock Aurora Acryl RTX 3070","20.0","","3.912890455413891 km","Lumiar","21 de junho de 2025","https://www.olx.pt//d/anuncio/watercooling-gpu-alphacool-eisblock-aurora-acryl-rtx-3070-IDIFZDk.html"
"EKWB Quantum Vector Strix - RTX 3070 D-RGB Níquel","80.0","","7.471238628641473 km","Benfica","19 de junho de 2025","https://www.olx.pt//d/anuncio/ekwb-quantum-vector-strix-rtx-3070-d-rgb-nquel-IDIQ8SX.html"
"EKWB Bloco de água Quantum Vector FTW3 - RTX 3070 DRGB Níquel + Acetal","80.0","","7.471238628641473 km","Benfica","19 de junho de 2025","https://www.olx.pt//d/anuncio/ekwb-bloco-de-gua-quantum-vector-ftw3-rtx-3070-drgb-nquel-acetal-IDIQ8Ta.html"
"GeForce RTX 3070 MSI Ventus 2x OC","250.0","","0.0 km","Olivais","20 de junho de 2025","https://www.olx.pt//d/anuncio/geforce-rtx-3070-msi-ventus-2x-oc-IDIQfVG.html"
"Nvidia RTX 3070 Asus ROG Strix 8GB","250.0","","5.904964051369909 km","Odivelas","24 de junho de 2025","https://www.olx.pt//d/anuncio/nvidia-rtx-3070-asus-rog-strix-8gb-IDISwLV.html"
"Placa gráfica MSI RTX 3070 Gaming X Trio","259.0","Negociável","6.4245054037731935 km","Santa Maria Maior","28 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-msi-rtx-3070-gaming-x-trio-IDIUNTs.html"
"Placa gráfica Evga GeForce RTX 3070","260.0","","3.912890455413891 km","Lumiar","13 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-evga-geforce-rtx-3070-IDILF7d.html"
"NVIDIA GeForce RTX 3070 TUF Gaming","270.0","Negociável","9.463889054937212 km","Falagueira-Venda Nova","09 de junho de 2025","https://www.olx.pt//d/anuncio/nvidia-geforce-rtx-3070-tuf-gaming-IDIRxec.html"
"Rtx 3070TI ASUS ROG Strix","280.0","","2.6811270730054257 km","Marvila","05 de junho de 2025","https://www.olx.pt//d/anuncio/rtx-3070ti-asus-rog-strix-IDIMqMK.html"
"RTX 3070 MSI Gaming X Trio","280.0","","8.037068195652928 km","Pontinha E Famões","11 de junho de 2025","https://www.olx.pt//d/anuncio/rtx-3070-msi-gaming-x-trio-IDIPEz7.html"
"Asus Tuf rtx 3070 OC 8Gb","290.0","","5.904964051369909 km","Odivelas","27 de junho de 2025","https://www.olx.pt//d/anuncio/asus-tuf-rtx-3070-oc-8gb-IDILRkn.html"
"Placa Gráfica NVIDIA ASUS GeForce RTX 3070 OC 8GB GDDR6 - Como Nova!","310.0","Negociável","1.9820544758207936 km","Parque das Nações","29 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-nvidia-asus-geforce-rtx-3070-oc-8gb-gddr6-como-nova-IDIM3Ck.html"
"Placa gráfica Nwidia rtx 3070","370.0","Negociável","5.904964051369909 km","Odivelas","14 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-nwidia-rtx-3070-IDIj3iN.html"
"EVGA Nvidia RTX 3070 Ti FTW3 Ultra 8GB","375.0","Negociável","3.02140635390422 km","Alvalade","12 de junho de 2025","https://www.olx.pt//d/anuncio/evga-nvidia-rtx-3070-ti-ftw3-ultra-8gb-IDHMsBY.html"


"rtx 3070 t"
"Watercooling GPU - Alphacool Eisblock Aurora Acryl RTX 3070","20.0","","3.912890455413891 km","Lumiar","21 de junho de 2025","https://www.olx.pt//d/anuncio/watercooling-gpu-alphacool-eisblock-aurora-acryl-rtx-3070-IDIFZDk.html"
"EKWB Quantum Vector Strix - RTX 3070 D-RGB Níquel","80.0","","7.471238628641473 km","Benfica","19 de junho de 2025","https://www.olx.pt//d/anuncio/ekwb-quantum-vector-strix-rtx-3070-d-rgb-nquel-IDIQ8SX.html"
"Nvidia RTX 3070 Asus ROG Strix 8GB","250.0","","5.904964051369909 km","Odivelas","24 de junho de 2025","https://www.olx.pt//d/anuncio/nvidia-rtx-3070-asus-rog-strix-8gb-IDISwLV.html"
"Placa gráfica Evga GeForce RTX 3070","260.0","","3.912890455413891 km","Lumiar","13 de junho de 2025","https://www.olx.pt//d/anuncio/placa-grfica-evga-geforce-rtx-3070-IDILF7d.html"
"NVIDIA GeForce RTX 3070 TUF Gaming","270.0","Negociável","9.463889054937212 km","Falagueira-Venda Nova","09 de junho de 2025","https://www.olx.pt//d/anuncio/nvidia-geforce-rtx-3070-tuf-gaming-IDIRxec.html"
"Rtx 3070TI ASUS ROG Strix","280.0","","2.6811270730054257 km","Marvila","05 de junho de 2025","https://www.olx.pt//d/anuncio/rtx-3070ti-asus-rog-strix-IDIMqMK.html"
